system   D            wsystem.c:583  maybe_parent_dir                 [   0.00033] Also searching C:\Users\Zach\Projects\nothingSpecial\
system   D            wsystem.c:630  _al_win_safe_load_library        [   0.00055] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00058] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00486] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.01242] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.01247] Allegro version: 5.0.5
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.01297] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.01404] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01406] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01408] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01409] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01411] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01412] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01414] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01415] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01416] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01418] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01419] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01421] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01422] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01424] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01425] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01427] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01428] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01430] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01431] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01432] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01434] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01435] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01437] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01438] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01440] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01441] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01443] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01444] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01446] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01447] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01448] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01450] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01451] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01456] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01458] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01459] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.01461] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01462] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01464] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01465] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01467] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01468] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01469] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01471] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01472] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01474] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01475] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01477] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01478] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01480] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01481] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01483] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01484] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01485] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01487] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01488] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01490] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01491] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01493] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01494] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01496] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01497] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01498] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01500] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01501] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01503] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01504] Single Buffer requirement not met.
